event_id,source_id,page_reference,quote
7478,785139,https://www.wikidata.org/wiki/Q48998655,
7479,790020,https://www.wikidata.org/wiki/Q49115891,
7480,792661,https://www.wikidata.org/wiki/Q49477252,
7481,806636,https://www.wikidata.org/wiki/Q51169006,
7482,808318,https://www.wikidata.org/wiki/Q51716525,
7483,809281,https://www.wikidata.org/wiki/Q51908636,
7484,809393,https://www.wikidata.org/wiki/Q51949084,
7485,810424,https://www.wikidata.org/wiki/Q52158928,
7486,810882,https://www.wikidata.org/wiki/Q52256876,
7487,814374,https://www.wikidata.org/wiki/Q52941555,
7488,816979,https://www.wikidata.org/wiki/Q54092720,
7489,817491,https://www.wikidata.org/wiki/Q54352953,
7490,818034,https://www.wikidata.org/wiki/Q54600748,
7491,819114,https://www.wikidata.org/wiki/Q54866759,
7492,822181,https://www.wikidata.org/wiki/Q55138522,
7493,827395,https://www.wikidata.org/wiki/Q55605028,
7494,827396,https://www.wikidata.org/wiki/Q55605044,
7495,827397,https://www.wikidata.org/wiki/Q55605056,
7497,827544,https://www.wikidata.org/wiki/Q55612563,
7504,831331,https://www.wikidata.org/wiki/Q55727316,
7508,840256,https://www.wikidata.org/wiki/Q56209554,
7509,841029,https://www.wikidata.org/wiki/Q56254508,
7511,841807,https://www.wikidata.org/wiki/Q56302858,
7512,841821,https://www.wikidata.org/wiki/Q56303040,
7513,841874,https://www.wikidata.org/wiki/Q56305318,
7514,841876,https://www.wikidata.org/wiki/Q56305417,
7516,841906,https://www.wikidata.org/wiki/Q56306614,
7517,841939,https://www.wikidata.org/wiki/Q56307632,
7518,842162,https://www.wikidata.org/wiki/Q56313757,
7519,842189,https://www.wikidata.org/wiki/Q56317775,
7520,842565,https://www.wikidata.org/wiki/Q56348885,
7521,842823,https://www.wikidata.org/wiki/Q56365596,
7522,847918,https://www.wikidata.org/wiki/Q56706644,
7523,865747,https://www.wikidata.org/wiki/Q58222763,
7524,874349,https://www.wikidata.org/wiki/Q59336421,
7527,889241,https://www.wikidata.org/wiki/Q60524387,
7528,889242,https://www.wikidata.org/wiki/Q60524393,
7529,889243,https://www.wikidata.org/wiki/Q60524397,
7530,889244,https://www.wikidata.org/wiki/Q60524400,
7531,889245,https://www.wikidata.org/wiki/Q60524403,
7532,889247,https://www.wikidata.org/wiki/Q60524422,
7533,889248,https://www.wikidata.org/wiki/Q60524435,
7534,889249,https://www.wikidata.org/wiki/Q60524445,
7535,889250,https://www.wikidata.org/wiki/Q60524457,
7537,889252,https://www.wikidata.org/wiki/Q60524549,
7545,892462,https://www.wikidata.org/wiki/Q60766003,
7546,892523,https://www.wikidata.org/wiki/Q60776378,
7548,892672,https://www.wikidata.org/wiki/Q60791316,
7550,896865,https://www.wikidata.org/wiki/Q61072724,
7551,898491,https://www.wikidata.org/wiki/Q61116375,
7552,898736,https://www.wikidata.org/wiki/Q61121528,
7553,899355,https://www.wikidata.org/wiki/Q61134760,
7554,902366,https://www.wikidata.org/wiki/Q61264359,
7555,902368,https://www.wikidata.org/wiki/Q61268045,
7556,902372,https://www.wikidata.org/wiki/Q61268413,
7557,902373,https://www.wikidata.org/wiki/Q61268425,
7558,902615,https://www.wikidata.org/wiki/Q61314200,
7559,902619,https://www.wikidata.org/wiki/Q61314245,
7560,902623,https://www.wikidata.org/wiki/Q61314298,
7561,902766,https://www.wikidata.org/wiki/Q61348110,
7562,902838,https://www.wikidata.org/wiki/Q61369965,
7563,902974,https://www.wikidata.org/wiki/Q61395072,
7564,902996,https://www.wikidata.org/wiki/Q61397129,
7565,903010,https://www.wikidata.org/wiki/Q61398580,
7566,903043,https://www.wikidata.org/wiki/Q61403207,
7567,903087,https://www.wikidata.org/wiki/Q61412773,
7568,909696,https://www.wikidata.org/wiki/Q61999899,
7569,917770,https://www.wikidata.org/wiki/Q63350866,
7570,925163,https://www.wikidata.org/wiki/Q64209446,
7571,927451,https://www.wikidata.org/wiki/Q64667692,
7573,934315,https://www.wikidata.org/wiki/Q65057769,
7576,934531,https://www.wikidata.org/wiki/Q65082946,
7577,934533,https://www.wikidata.org/wiki/Q65082997,
7578,934970,https://www.wikidata.org/wiki/Q65121402,
7579,935117,https://www.wikidata.org/wiki/Q65129936,
7580,935150,https://www.wikidata.org/wiki/Q65132216,
7581,935387,https://www.wikidata.org/wiki/Q65159720,
