id,wikidata_id,name,name_ko,latitude,longitude,location_type,parent_location_id,created_at,updated_at,name_original,modern_name,country,region,is_region,coords_source,canonical_id,hierarchy_level,modern_parent_id,historical_parent_id,valid_from,valid_until,parent_id,display_level,display_zoom_min,display_zoom_max,description,description_ko,description_ja,name_ja,description_source,description_source_url,wikipedia_url,geocoded_by,geocoded_at,connection_count,type,is_light
520460,Q103212,Alapayevsk,알라파옙스크,57.8500000,61.7000000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520463,Q104302,Chorzów,호주프,50.3000000,18.9500000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520538,Q131128,Braunau am Inn,브라우나우암인,48.2583333,13.0333333,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520548,Q133116,Hamilton,해밀턴 (온타리오주),43.2566667,-79.8691667,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520551,Q134287,Tarsus,타르수스,36.9166667,34.9000000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520556,Q135657,Yelizovo,옐리조보,53.1833333,158.3833333,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520560,Q136669,Zapolyarny,,69.4258333,30.8205556,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520576,Q142101,Kożuchów,,51.7500000,15.6000000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520609,Q150188,Whetstone,,51.6260000,-0.1715000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520616,Q152602,Kiryat Ata,,32.8000000,35.1000000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520626,Q155455,Kotlas,코틀라스,61.2500000,46.6500000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520680,Q161905,Leśna,,51.0236111,15.2666667,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520683,Q162548,Oskemen,외스케멘,49.9500000,82.6166667,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520792,Q173121,Santiago de Querétaro,케레타로,20.5880556,-100.3880556,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520793,Q173338,Cetinje,체티네,42.3894444,18.9247222,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520838,Q182979,Rahden,,52.4327778,8.6133333,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520840,Q183124,Cochabamba,코차밤바,-17.3935419,-66.1570139,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520841,Q183298,Ibadan,이바단,7.3775000,3.9058333,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520846,Q185084,Siirt,시이르트,37.8416667,41.9458333,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520853,Q186823,Psebay,,44.1091667,40.7900000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520864,Q188313,Blackburn,블랙번,53.7449000,-2.4769000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520912,Q200049,Ajmer,아지메르,26.4680000,74.6390000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520918,Q201095,Giresun,기레순,40.9000000,38.4166667,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520936,Q203889,Luton,루턴,51.8783333,-0.4147222,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520937,Q203995,Southend-on-Sea,사우스엔드온시,51.5378900,0.7137700,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520940,Q204905,Elefsina,엘레프시나,38.0413889,23.5452778,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520944,Q206101,Rosenborg Castle,로센보르성,55.6856600,12.5774800,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520950,Q207098,Ghaziabad,가지아바드,28.6666667,77.4166667,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520958,Q207540,Lod,로드 (도시),31.9500000,34.9000000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520966,Q209034,Toluca de Lerdo,톨루카,19.2922222,-99.6538889,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520967,Q209055,Torquay,토키 (데번주),50.4625000,-3.5280556,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520978,Q212283,Wells,웰스 (서머싯주),51.2094444,-2.6450000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
520986,Q214173,Trujillo,트루히요 (페루),-8.1119444,-79.0288889,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
