event_id,location_id,role
8731,519927,location
8733,2013207,location
8735,1415676,location
8737,820301,location
8747,2614346,location
8748,1415470,location
8751,519917,location
8755,1117810,location
8756,2313007,location
8764,2314838,location
8770,520883,location
8771,818838,location
8777,1716512,location
8779,520046,location
8781,2025851,location
8782,2318054,location
8783,2624652,location
8786,519911,location
8788,524734,location
8789,523461,location
28922,2610826,location
8792,2611738,location
8795,2353577,location
8796,2626454,location
8808,2311975,location
8809,2611732,location
8810,818957,location
8813,1722044,location
8814,1715481,location
8818,2612232,location
8826,2313406,location
8827,2611409,location
8828,2013240,location
8830,2013240,location
8833,2614712,location
8835,2013184,location
8852,2271411,location
8859,819994,location
8872,1532865,location
8878,770426,location
8880,819806,location
8882,1123457,location
8884,1732148,location
8891,1120804,location
8901,818440,location
8905,2314192,location
8915,1716406,location
8919,2859678,location
8926,1416387,location
8934,2615868,location
8936,1415470,location
8951,2015397,location
8954,1426960,location
8966,2014482,location
8971,1117511,location
8986,2312277,location
8987,2013703,location
8991,2610826,location
8995,2013860,location
8999,2628086,location
28950,1715153,location
28952,1415456,location
9011,1415463,location
9012,2013560,location
9014,520462,location
9019,858319,location
28958,2612995,location
28959,1424003,location
9021,2315283,location
9023,2312774,location
9024,1724128,location
9028,2617553,location
9029,2615758,location
9037,2613557,location
9038,575522,location
9039,1128158,location
9047,1715087,location
9048,1722043,location
28966,2329037,location
9053,1715367,location
9055,2611346,location
9067,1717827,location
28969,1715955,location
9083,1117486,location
9091,834628,location
9094,2610779,location
9097,1126651,location
9097,1714987,location
9102,827414,location
9108,818387,location
9110,1127290,location
9114,549906,location
9118,828092,location
9121,1734436,location
9125,1416387,location
9126,1415529,location
9127,1133918,location
28982,1734499,location
9137,520469,location
9138,2013816,location
9146,1116962,location
28989,1117443,location
9150,2613494,location
9157,1416554,location
9158,1416241,location
9159,2611807,location
9160,1122043,location
9166,839549,location
9167,1715460,location
9169,1715844,location
9174,1415451,location
9180,2614423,location
9183,2311975,location
9187,825792,location
9195,1117210,location
29009,1156187,location
29010,2311975,location
9209,2311975,location
9212,2029867,location
9213,1116851,location
9215,525886,location
29024,1717404,location
29030,2312235,location
29032,1117310,location
29041,1441017,location
9238,819365,location
9239,1419806,location
9245,1444170,location
9251,1416421,location
9252,1726887,location
9254,2337039,location
9260,2613249,location
9262,2613131,location
9266,2013397,location
9268,1417708,location
9273,1415443,location
9277,2039712,location
9279,2338176,location
9299,2015060,location
9303,818399,location
9322,1116851,location
9332,1718818,location
9342,1117109,location
9347,2013905,location
9349,1119758,location
9353,2611811,location
9375,2349113,location
9378,2610974,location
9379,1719764,location
9382,1417739,location
9383,2610788,location
9384,2610788,location
9392,2610801,location
9394,2628796,location
9396,2611049,location
9403,754599,location
9409,1415450,location
9410,1716964,location
9411,2628086,location
9414,1425519,location
9419,1415716,location
9423,2027655,location
9432,2352511,location
9434,2610788,location
9436,1417458,location
9438,2651252,location
9444,2612611,location
9448,2312878,location
9451,560444,location
9451,558692,location
9452,1457430,location
9456,2312441,location
9461,1725012,location
9464,1117793,location
9467,1716061,location
9469,1416274,location
29050,2610802,location
9483,2610802,location
29057,1421527,location
9491,1122245,location
9495,2311975,location
29068,2013991,location
29069,1715715,location
9496,838946,location
29071,2022452,location
9502,2312583,location
9504,2370883,location
9506,1717519,location
9545,2315365,location
9550,2108561,location
29087,534089,location
29094,1715153,location
9562,2312856,location
9568,519917,location
9576,825942,location
29097,2013303,location
29098,521153,location
29103,2312872,location
29106,2349030,location
29107,557164,location
9591,2578920,location
9597,818386,location
9603,523746,location
9622,1118561,location
9624,1715527,location
9625,1720738,location
9627,2610892,location
9631,1126137,location
9632,1422257,location
9633,2312313,location
9637,2316369,location
9638,2013709,location
9641,2610827,location
9642,2018666,location
9643,519917,location
9646,520540,location
9648,818805,location
9650,2014138,location
9655,2611078,location
9656,520960,location
9657,2013703,location
9658,1415885,location
29121,2352089,location
9677,1117486,location
9690,1416102,location
9691,520046,location
9693,1715715,location
9696,519981,location
9703,519981,location
9705,1415436,location
9714,2614760,location
9719,568892,location
9731,1118855,location
9736,1122174,location
9738,839000,location
9740,1135509,location
29143,2610802,location
9773,1415463,location
9794,2610779,location
9800,1718323,location
9823,1161828,location
9829,2057519,location
9832,564986,location
29163,1416026,location
9854,2312021,location
9876,2311972,location
9888,818387,location
29168,1118347,location
9893,2013973,location
9896,1125524,location
9901,2627073,location
9907,864346,location
9911,1715263,location
29178,1124030,location
9913,2326309,location
9914,2013532,location
9919,1793082,location
9920,819151,location
9935,819496,location
9938,520552,location
9938,2627056,location
9938,1117511,location
9938,818387,location
29184,520046,location
9941,1717881,location
29186,2012989,location
9947,1732862,location
9950,827965,location
29196,2638289,location
9974,1769855,location
9996,520794,location
9999,1117717,location
29200,558242,location
10006,1715145,location
29205,2628244,location
10029,1418713,location
10031,2610959,location
10037,529364,location
10039,2013538,location
10045,2013561,location
29209,520160,location
10052,527386,location
29214,1116896,location
10068,2611859,location
10078,830885,location
29220,1137630,location
29225,1463241,location
10095,2019542,location
10102,532268,location
10115,1116958,location
10135,832706,location
10140,1118939,location
10159,1418390,location
10171,1740212,location
10173,2013816,location
10180,1415715,location
10181,2611464,location
10182,818396,location
10183,831511,location
10196,1743791,location
10210,2013779,location
29249,1716457,location
10226,2611139,location
10229,819934,location
10234,1117799,location
10234,1740216,location
10247,818398,location
10249,2313219,location
10258,1416391,location
10269,1415437,location
10274,1714942,location
10275,819238,location
29267,2311980,location
10279,2611853,location
10285,831268,location
10288,1116895,location
29271,1118229,location
29273,820079,location
10295,1117052,location
29276,818652,location
10317,1117310,location
29278,2327063,location
29281,1720872,location
29281,1715845,location
10322,519929,location
29288,2612223,location
29289,2012921,location
10361,2014256,location
10364,2611224,location
10369,2611049,location
10371,825651,location
10382,1715372,location
29291,2610827,location
29293,2012921,location
29294,2012921,location
10390,818787,location
10399,1116955,location
29295,2611050,location
10420,2610799,location
29297,1719936,location
10423,1435341,location
10431,2312183,location
10432,2024323,location
10457,2610830,location
29305,534665,location
10463,1721680,location
29308,1468929,location
10487,520975,location
10511,1717856,location
10512,818406,location
10515,1721316,location
10516,2013898,location
10520,1421367,location
10525,1422143,location
29318,833054,location
29323,1721197,location
29329,1418365,location
29330,1714984,location
10580,1431311,location
10595,1716169,location
29355,1431529,location
10617,1117486,location
10618,818694,location
29364,1305642,location
29368,1117577,location
10636,2014803,location
29373,2645888,location
10648,2610825,location
10653,2611026,location
10656,1419270,location
29378,834349,location
10659,820438,location
29382,2013685,location
10687,2312905,location
10691,831274,location
10695,2623102,location
29388,771730,location
10701,1436251,location
10710,1118281,location
10720,2312236,location
10741,2610782,location
10741,519914,location
10744,819178,location
10750,2359776,location
10771,519914,location
29416,1152937,location
29418,1118347,location
29419,522352,location
10791,520207,location
10792,819176,location
29421,2264943,location
10795,2614441,location
10807,2311975,location
29425,1416190,location
29428,1715543,location
29429,835369,location
10854,1430458,location
29440,1418570,location
10868,1416369,location
29442,522352,location
29443,818575,location
10891,2616611,location
29445,2014612,location
29449,2013493,location
10901,2620751,location
10904,1715889,location
10934,2013003,location
10942,822895,location
29458,2311975,location
29459,520207,location
10963,519981,location
29464,2310262,location
10988,1118939,location
29469,2012922,location
29469,1116856,location
29469,1116840,location
11009,2314198,location
11012,520046,location
11016,2610788,location
11026,1718485,location
29479,2315283,location
11028,1116906,location
11031,2612769,location
11032,1714923,location
11033,2611738,location
29482,1415676,location
29483,1118412,location
11037,2610868,location
11040,1715375,location
11049,2632468,location
11054,1461888,location
11056,1418864,location
11057,2016880,location
11058,1722294,location
11061,819315,location
29491,1415585,location
11064,1117908,location
11068,826069,location
11070,1715995,location
11074,1457775,location
11080,2012967,location
11081,2311975,location
11088,2012920,location
29498,1722949,location
11094,1116861,location
11096,1118560,location
11105,2013043,location
11106,2315552,location
11110,2859924,location
11111,1119378,location
11112,2311969,location
11115,1122119,location
11118,823840,location
11128,2618063,location
11130,1418501,location
29509,1116912,location
29510,2322673,location
11139,2346975,location
11144,1718554,location
11144,522846,location
11146,1415449,location
11149,2545846,location
11153,519927,location
11159,2312976,location
11160,2330199,location
11161,1421507,location
11166,2016418,location
11171,522383,location
11174,819348,location
11177,2611626,location
11181,519928,location
11185,1714942,location
11186,1742248,location
29522,521700,location
11188,2610799,location
11190,538664,location
11194,2020455,location
11198,818403,location
11201,2091056,location
11204,2312309,location
11205,2334947,location
11207,2628788,location
11208,2312558,location
11210,1119560,location
11211,823835,location
11212,2015498,location
11219,1117837,location
11221,1714970,location
11223,520834,location
11230,2012998,location
11232,1715279,location
11235,519911,location
11236,2613761,location
11244,520074,location
11250,1116869,location
11251,1714933,location
11257,1416391,location
11261,1117884,location
11268,818654,location
29531,1116840,location
29532,818650,location
11271,818386,location
11278,2312127,location
11283,1123423,location
11291,2016418,location
11292,2012992,location
11293,1415676,location
11299,2637667,location
11310,520518,location
11312,2610797,location
11314,2611685,location
11317,2610774,location
11320,1116958,location
11321,1715372,location
29544,1118846,location
11322,2312701,location
11323,1415436,location
11324,1116906,location
11325,1993197,location
11326,2022926,location
11330,2321712,location
11332,1128580,location
11337,2311975,location
29554,844247,location
11347,827616,location
11350,818930,location
11352,2615188,location
11354,1715002,location
11364,2015583,location
11367,1415436,location
11390,2027899,location
11395,1117115,location
11401,1117906,location
29575,826979,location
11404,1715830,location
11404,519914,location
11407,531001,location
11410,2012921,location
11431,520701,location
11436,533120,location
11441,519922,location
11444,831150,location
11449,1415450,location
29588,2316052,location
11460,1417437,location
11461,520046,location
11466,522132,location
29591,818797,location
11477,837807,location
11486,830407,location
11487,1420840,location
11494,2317860,location
11495,522886,location
11496,1116874,location
11499,1117931,location
11509,2012920,location
11510,1714922,location
29601,2311975,location
11512,2610892,location
29603,1715261,location
11525,1122153,location
11527,819364,location
11527,1715912,location
11529,1416390,location
11530,1416925,location
11531,1129039,location
11535,2026409,location
11537,2312430,location
11545,1732076,location
11549,2317255,location
11551,1417652,location
11552,833420,location
11554,519924,location
11555,1728384,location
11565,520929,location
11582,1415678,location
11590,1117672,location
11593,2022824,location
11599,818386,location
11600,1935641,location
11601,2014548,location
11602,2013938,location
11611,1422287,location
11619,521282,location
11621,824433,location
11623,2392546,location
11629,519928,location
11631,1457889,location
11634,520046,location
11635,1415526,location
11640,2019542,location
11641,832033,location
11644,818728,location
11648,2013001,location
11657,2620280,location
11659,528430,location
11666,522108,location
11669,2012921,location
11672,2014275,location
11674,1720123,location
11676,2016332,location
11682,519984,location
29634,520540,location
11692,831865,location
11696,1415436,location
11701,1420840,location
11708,875295,location
11710,528492,location
11716,1730772,location
11723,520207,location
29660,520455,location
11729,522816,location
11729,1865925,location
11735,1118229,location
11736,2685103,location
11739,2046102,location
11741,2317838,location
11742,2612722,location
11744,2313869,location
11746,2630894,location
11751,1117598,location
11753,522904,location
11762,1416377,location
11763,2013212,location
11764,2313043,location
11767,818409,location
11768,2018673,location
11778,1719936,location
11779,1117491,location
11784,2316526,location
11785,1418213,location
11787,1118737,location
11789,2611360,location
11792,819392,location
11798,1119541,location
11808,1422264,location
11809,1719885,location
11812,519914,location
11817,2321020,location
11818,526546,location
11819,2611670,location
11830,1120501,location
29661,818407,location
11836,1125633,location
11841,857269,location
11850,1718575,location
11853,1457696,location
29667,820292,location
11859,2013561,location
29669,2613594,location
11860,1716012,location
11867,818392,location
11874,2312356,location
11878,520046,location
11882,1145568,location
11885,1116861,location
11887,1715102,location
11888,1117478,location
11889,1441086,location
29680,519926,location
11891,1126320,location
11893,1415470,location
11895,1116914,location
29684,1129779,location
11897,2611493,location
11899,2317938,location
29690,2318818,location
29691,1719785,location
11911,818835,location
11915,1116861,location
11921,520516,location
11923,2017195,location
11936,2639158,location
29701,1417953,location
11939,2312183,location
11940,1714933,location
11943,2313068,location
11944,2611696,location
11947,2312021,location
11951,1415716,location
11956,2611738,location
11957,823408,location
11962,821711,location
11964,2622397,location
11966,2315948,location
11975,530724,location
11976,2325649,location
11988,2311975,location
11989,2354501,location
11991,2615964,location
11994,1116861,location
29711,1714934,location
29711,818416,location
29711,820647,location
29711,540588,location
29711,1415462,location
29711,1714952,location
29711,1714954,location
29711,2311985,location
11997,2612319,location
29714,1714937,location
12001,520046,location
12002,2610774,location
12004,2843099,location
12005,819461,location
12007,2015219,location
12015,1120843,location
12020,2315906,location
12026,1116861,location
12031,2613320,location
12033,825500,location
12037,520490,location
12038,525910,location
12041,1117799,location
12042,1415470,location
12052,1116874,location
12058,2316094,location
12068,2611440,location
12074,1116882,location
29731,520703,location
29736,1120005,location
29740,1715845,location
29741,2311970,location
12086,2311975,location
12091,2611571,location
12100,520087,location
29753,2012973,location
29755,2039964,location
29756,1117188,location
29758,1727054,location
29767,2610788,location
12104,2611416,location
29772,1741407,location
12111,818835,location
12125,1417802,location
12128,1759083,location
12132,2619532,location
12132,2610825,location
12134,1116851,location
12142,2747287,location
12142,2637840,location
12159,2043137,location
12163,1415455,location
12167,2616701,location
12172,2027099,location
12175,2013538,location
12177,2312949,location
12179,1429145,location
12182,521725,location
12188,520960,location
12195,2611782,location
12200,2322785,location
12201,1719786,location
12202,1735719,location
12204,2615549,location
12207,1723884,location
12213,1751014,location
12214,2356934,location
12216,2017341,location
12218,1714973,location
12231,2313064,location
12243,2615587,location
12248,1422264,location
12251,520851,location
12254,1419075,location
12268,1452249,location
12300,818422,location
12306,2616549,location
12317,1715828,location
12323,2611738,location
12324,2646272,location
12329,2020588,location
12332,2015468,location
12335,561742,location
12344,532032,location
12346,1116962,location
12349,2618374,location
12351,1116880,location
12354,2324968,location
29773,519986,location
12371,520249,location
12374,1415992,location
29784,818386,location
29790,548627,location
12400,520734,location
12401,2013703,location
12402,2012931,location
12412,1415524,location
29799,1714912,location
29801,1415481,location
12417,522072,location
29808,2049153,location
12456,2614261,location
29814,823355,location
29815,1416511,location
12460,1418082,location
12467,1116895,location
12471,1429886,location
