id,event_a_id,event_b_id,direction,layer_type,layer_entity_id,connection_type,strength_score,source_count,time_distance,manual_strength,manual_reason,verification_status,verified_by,verified_at,curated_status,curated_by,curated_at,curation_note,created_at,updated_at
33871,8214,20252,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33872,8214,22551,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33873,8214,26640,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33874,8214,26678,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33875,11038,12443,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33876,11038,17246,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33879,11038,26640,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33881,12443,17246,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33882,12443,20252,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33883,12443,22551,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33884,12443,26640,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33885,12443,26678,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33886,17246,20252,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33887,17246,22551,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33888,17246,26640,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33889,17246,26678,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33890,20252,22551,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33891,20252,26640,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33892,20252,26678,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33893,22551,26640,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
