event_id,person_id,role,description
13110,1630686,conflict,
25673,1630686,conflict,
10322,1630686,conflict,
21588,1630686,conflict,
19711,1630704,conflict,
16925,1630708,conflict,
8545,1630708,conflict,
25278,1630722,significant_event,
25938,1630742,conflict,
8121,1630758,conflict,
16974,1630758,conflict,
16740,1630758,conflict,
22655,1630758,conflict,
16965,1630758,participant_in,
16785,1630784,conflict,
11108,1630784,conflict,
16785,1630789,conflict,
25286,1630807,conflict,
19665,1630807,conflict,
25728,1630808,conflict,
17017,1630819,conflict,
11007,1630839,participant_in,
22512,1630845,conflict,
22478,1630845,conflict,
16741,1630863,conflict,
17061,1630863,conflict,
19589,1630863,conflict,
16742,1630873,conflict,
14307,1630888,conflict,
25357,1630916,conflict,
16742,1630922,conflict,
16785,1630945,conflict,
19589,1630949,conflict,
25286,1630965,conflict,
19604,1630983,conflict,
8152,1630984,conflict,
13835,1630984,conflict,
11446,1631003,conflict,
22500,1631012,conflict,
22512,1631012,conflict,
11059,1631048,conflict,
22448,1631048,significant_event,
22493,1631057,conflict,
19633,1631057,conflict,
8152,1631063,conflict,
25853,1631063,conflict,
8682,1631063,conflict,
5256,1631063,conflict,
6557,1631063,conflict,
7035,1631087,participant_in,
25280,1631112,conflict,
19588,1631144,conflict,
20005,1631215,conflict,
19589,1631221,conflict,
16741,1631221,conflict,
12958,1631229,conflict,
25286,1631264,conflict,
16785,1631379,conflict,
22448,1631404,conflict,
19711,1631428,conflict,
11007,1631452,participant_in,
22448,1631461,conflict,
11287,1631488,conflict,
13873,1631488,conflict,
11007,1631493,conflict,
25280,1631493,conflict,
25327,1631493,conflict,
8131,1631542,conflict,
19982,1631542,conflict,
11510,1631605,conflict,
7312,1631605,conflict,
23500,1631605,conflict,
22448,1631618,conflict,
14232,1631618,conflict,
19788,1631660,conflict,
22470,1631666,conflict,
22512,1631675,conflict,
22868,1631689,participant_in,
26442,1631726,conflict,
22500,1631739,conflict,
22478,1631739,conflict,
19588,1631743,conflict,
19633,1631767,conflict,
22717,1631767,conflict,
19711,1631833,conflict,
5326,1631842,conflict,
22747,1631849,conflict,
25303,1631921,conflict,
16785,1631921,conflict,
18901,1631931,significant_event,
25303,1631985,conflict,
16785,1631985,conflict,
25286,1632009,conflict,
25286,1632063,conflict,
5339,1632063,conflict,
22645,1632074,conflict,
17275,1632076,conflict,
25286,1632093,conflict,
16755,1632112,conflict,
16785,1632124,conflict,
25297,1632145,conflict,
8119,1632190,conflict,
25286,1632190,conflict,
25286,1632218,conflict,
8119,1632218,conflict,
19596,1632246,conflict,
16785,1632260,conflict,
16785,1632328,conflict,
25331,1632374,conflict,
16792,1632390,conflict,
11007,1632390,participant_in,
25286,1632408,conflict,
19635,1632552,conflict,
21819,1632578,conflict,
22448,1632646,conflict,
25724,1632771,significant_event,
11109,1633007,conflict,
19665,1633007,conflict,
25448,1633008,conflict,
19711,1633014,conflict,
19596,1633141,conflict,
16742,1633162,conflict,
8794,1633174,conflict,
26671,1633179,conflict,
16742,1633249,conflict,
16785,1633307,conflict,
16785,1633308,conflict,
19625,1633397,conflict,
16785,1633413,conflict,
18901,1633420,significant_event,
22500,1633493,conflict,
22478,1633493,conflict,
22905,1633493,conflict,
